ID,URL,Title,Difficulty,Acceptance %,Frequency %
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,57.10%,100.00%
2,https://leetcode.com/problems/add-two-numbers,Add Two Numbers,Medium,47.90%,75.00%
4,https://leetcode.com/problems/median-of-two-sorted-arrays,Median of Two Sorted Arrays,Hard,45.90%,75.00%
11,https://leetcode.com/problems/container-with-most-water,Container With Most Water,Medium,59.50%,75.00%
14,https://leetcode.com/problems/longest-common-prefix,Longest Common Prefix,Easy,47.10%,75.00%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,38.50%,62.50%
5,https://leetcode.com/problems/longest-palindromic-substring,Longest Palindromic Substring,Medium,37.30%,62.50%
7,https://leetcode.com/problems/reverse-integer,Reverse Integer,Medium,31.50%,62.50%
9,https://leetcode.com/problems/palindrome-number,Palindrome Number,Easy,60.20%,62.50%
13,https://leetcode.com/problems/roman-to-integer,Roman to Integer,Easy,66.20%,62.50%
15,https://leetcode.com/problems/3sum,3Sum,Medium,38.60%,62.50%
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,43.70%,62.50%
26,https://leetcode.com/problems/remove-duplicates-from-sorted-array,Remove Duplicates from Sorted Array,Easy,62.20%,62.50%
42,https://leetcode.com/problems/trapping-rain-water,Trapping Rain Water,Hard,66.80%,62.50%
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,51.10%,62.50%
66,https://leetcode.com/problems/plus-one,Plus One,Easy,49.50%,62.50%
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,56.40%,62.50%
128,https://leetcode.com/problems/longest-consecutive-sequence,Longest Consecutive Sequence,Medium,47.00%,62.50%
169,https://leetcode.com/problems/majority-element,Majority Element,Easy,66.10%,62.50%
560,https://leetcode.com/problems/subarray-sum-equals-k,Subarray Sum Equals K,Medium,46.80%,62.50%
1929,https://leetcode.com/problems/concatenation-of-array,Concatenation of Array,Easy,90.50%,62.50%
21,https://leetcode.com/problems/merge-two-sorted-lists,Merge Two Sorted Lists,Easy,67.90%,50.00%
22,https://leetcode.com/problems/generate-parentheses,Generate Parentheses,Medium,78.20%,50.00%
27,https://leetcode.com/problems/remove-element,Remove Element,Easy,61.30%,50.00%
31,https://leetcode.com/problems/next-permutation,Next Permutation,Medium,44.70%,50.00%
33,https://leetcode.com/problems/search-in-rotated-sorted-array,Search in Rotated Sorted Array,Medium,44.10%,50.00%
34,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,Find First and Last Position of Element in Sorted Array,Medium,48.30%,50.00%
46,https://leetcode.com/problems/permutations,Permutations,Medium,81.60%,50.00%
49,https://leetcode.com/problems/group-anagrams,Group Anagrams,Medium,72.20%,50.00%
51,https://leetcode.com/problems/n-queens,N-Queens,Hard,74.90%,50.00%
53,https://leetcode.com/problems/maximum-subarray,Maximum Subarray,Medium,53.00%,50.00%
54,https://leetcode.com/problems/spiral-matrix,Spiral Matrix,Medium,56.10%,50.00%
67,https://leetcode.com/problems/add-binary,Add Binary,Easy,57.60%,50.00%
70,https://leetcode.com/problems/climbing-stairs,Climbing Stairs,Easy,53.90%,50.00%
72,https://leetcode.com/problems/edit-distance,Edit Distance,Medium,60.10%,50.00%
78,https://leetcode.com/problems/subsets,Subsets,Medium,82.00%,50.00%
